"Source:","/home/varad/Vegapod0/final_PCBs/MVCU_F407/MVCU_F407.kicad_sch"
"Date:","Wed May 17 23:29:40 2023"
"Tool:","Eeschema 6.0.11-2627ca5db0~126~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","114"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"28","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"29","5","TP1, TP2, TP3, TP4, TP5","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Keystone_5010-5014_Multipurpose","~"
"30","1","U1","74LS125","74xx:74LS125","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS125"
"31","1","U2","STM32F407VGTx","MCU_ST_STM32F4:STM32F407VGTx","Package_QFP:LQFP-100_14x14mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00037051.pdf"
"32","1","U3","MAX232","Interface_UART:MAX232","Package_DIP:DIP-16_W7.62mm_SMDSocket_SmallPads","http://www.ti.com/lit/ds/symlink/max232.pdf"
"33","1","U4","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"34","1","U5","MCP2551-I-SN","Interface_CAN_LIN:MCP2551-I-SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/devicedoc/21667d.pdf"
"35","1","U6","AMS1117-5.0","Regulator_Linear:AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"36","1","U7","MORNSUN-URB2405YMD-6WR3","varad:MORNSUN-URB2405YMD-6WR3","varad_lib:MORNSUN-URB2405YMD-6WR3",""
"37","1","U8","74LS47","74xx:74LS47","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS47"
"38","1","U9","XB24CDMPIT-001","XB24CDMPIT-001:XB24CDMPIT-001","varad_lib:XBEE",""
"39","1","U10","D168K","Display_Character:D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf"
"40","1","U11","ACS712xLCTR-20A","Sensor_Current:ACS712xLCTR-20A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en"
"41","1","Y1","Crystal_GND24","Device:Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~"
